Designator,Val,Package,MidX,MidY,Rotation,Layer
C_1V-Decoup1,1u,C_0402_1005Metric,23.81244,50.60169,90,bottom
C_1V-Decoup2,100n,C_0402_1005Metric,27.384318,50.601801,90,bottom
C_1V-Decoup3,100n,C_0402_1005Metric,24.756478,35.965564,-135,bottom
C_3V-Decoup1,10u,C_0402_1005Metric,19.049936,48.220549,180,bottom
C_3V-Decoup2,1u,C_0402_1005Metric,21.431304,50.60169,90,bottom
C_3V-Decoup3,100n,C_0402_1005Metric,26.193692,50.601801,90,bottom
C_3V-Decoup4,100n,C_0402_1005Metric,19.049936,42.267419,180,bottom
C_3V-Decoup5,100n,C_0402_1005Metric,19.049936,47.029923,180,bottom
C_3V-Decoup6,100n,C_0402_1005Metric,33.932761,45.839297,0,bottom
C_3V-Decoup7,100n,C_0402_1005Metric,22.621812,50.60169,90,bottom
C_3V-Decoup8,100n,C_0402_1005Metric,25.598379,35.123663,-135,bottom
C_3V-Decoup9,100n,C_0402_1005Metric,33.932761,41.862608,0,bottom
C_Crystal1,22p,C_0402_1005Metric,31.136761,28.989968,45,bottom
C_Crystal2,22p,C_0402_1005Metric,27.64022,28.697954,135,bottom
C_Flash1,100n,C_0402_1005Metric,41.076517,64.230627,-90,bottom
C_LD1,1u,C_0402_1005Metric,18.157077,63.825627,-90,bottom
C_LD2,1u,C_0402_1005Metric,12.799251,62.910627,90,bottom
D1,1N4148W,D_SOD-123,12.501493,68.461191,90,bottom
D2,1N4148W,D_SOD-123,15.478058,48.815862,90,bottom
D3,1N4148W,D_SOD-123,23.81244,24.408029,90,bottom
D4,1N4148W,D_SOD-123,16.073371,8.334578,90,bottom
D5,1N4148W,D_SOD-123,31.551509,68.461191,90,bottom
D6,1N4148W,D_SOD-123,36.909326,48.815862,90,bottom
D7,1N4148W,D_SOD-123,50.006212,24.408029,90,bottom
D8,1N4148W,D_SOD-123,35.123387,8.334578,90,bottom
D9,1N4148W,D_SOD-123,50.601525,68.461191,90,bottom
