Comment,Designator,Footprint,JLCPCB Part#(optional)
1uF,C_1V-Decoup1,C_0402_1005Metric,C52923
100nF,C_1V-Decoup2,C_0402_1005Metric,C2655418
100nF,C_1V-Decoup3,C_0402_1005Metric,C2655418
10uF,C_3V-Decoup1,C_0402_1005Metric,C15525
1uF,C_3V-Decoup2,C_0402_1005Metric,C52923
100nF,C_3V-Decoup3,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup4,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup5,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup6,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup7,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup8,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup9,C_0402_1005Metric,C2655418
22pF,C_Crystal1,C_0402_1005Metric,C1555
22pF,C_Crystal2,C_0402_1005Metric,C1555
100nF,C_Flash1,C_0402_1005Metric,C2655418
1uF,C_LD1,C_0402_1005Metric,C52923
1uF,C_LD2,C_0402_1005Metric,C52923
1N4148W,D1,D_SOD-123,C81598
1N4148W,D10,D_SOD-123,C81598
1N4148W,D11,D_SOD-123,C81598
1N4148W,D12,D_SOD-123,C81598
1N4148W,D13,D_SOD-123,C81598
1N4148W,D14,D_SOD-123,C81598
1N4148W,D15,D_SOD-123,C81598
1N4148W,D16,D_SOD-123,C81598
1N4148W,D17,D_SOD-123,C81598
1N4148W,D18,D_SOD-123,C81598
1N4148W,D19,D_SOD-123,C81598
1N4148W,D2,D_SOD-123,C81598
1N4148W,D20,D_SOD-123,C81598
1N4148W,D21,D_SOD-123,C81598
1N4148W,D22,D_SOD-123,C81598
1N4148W,D23,D_SOD-123,C81598
1N4148W,D24,D_SOD-123,C81598
1N4148W,D25,D_SOD-123,C81598
1N4148W,D26,D_SOD-123,C81598
1N4148W,D27,D_SOD-123,C81598
1N4148W,D28,D_SOD-123,C81598
1N4148W,D29,D_SOD-123,C81598
1N4148W,D3,D_SOD-123,C81598
1N4148W,D30,D_SOD-123,C81598
1N4148W,D31,D_SOD-123,C81598
1N4148W,D32,D_SOD-123,C81598
1N4148W,D33,D_SOD-123,C81598
1N4148W,D34,D_SOD-123,C81598
1N4148W,D35,D_SOD-123,C81598
1N4148W,D36,D_SOD-123,C81598
1N4148W,D37,D_SOD-123,C81598
1N4148W,D38,D_SOD-123,C81598
1N4148W,D4,D_SOD-123,C81598
1N4148W,D5,D_SOD-123,C81598
1N4148W,D6,D_SOD-123,C81598
1N4148W,D7,D_SOD-123,C81598
1N4148W,D8,D_SOD-123,C81598
1N4148W,D9,D_SOD-123,C81598
SM04B-SRSS-TB(LF)(SN),J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
CPG151101S11,MX1,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX10,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX11,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX12,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX13,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX14,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX15,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX16,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX17,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX18,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX19,MXOnly-2U-Hotswap-ReversedStabilizers,C2803348
CPG151101S11,MX2,MXOnly-1.25U-Hotswap,C2803348
CPG151101S11,MX20,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX21,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX22,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX23,MXOnly-2U-Hotswap-ReversedStabilizers,C2803348
CPG151101S11,MX24,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX25,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX26,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX27,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX28,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX29,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX3,MXOnly-1.5U-Hotswap,C2803348
CPG151101S11,MX30,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX31,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX32,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX33,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX34,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX35,MXOnly-1.5U-Hotswap,C2803348
CPG151101S11,MX36,MXOnly-1.25U-Hotswap,C2803348
CPG151101S11,MX37,MXOnly-1U-Hotswap,C2803348
CPG151101S11,MX38,MXOnly-1U-Hotswap,C2803348
