Designator,Val,Package,MidX,MidY,Rotation,Layer
C_1V-Decoup1,1u,C_0402_1005Metric,16.073478,50.60169,180,bottom
C_1V-Decoup2,.1u,C_0402_1005Metric,20.240676,51.197004,90,bottom
C_1V-Decoup3,.1u,C_0402_1005Metric,15.478164,36.314154,-90,bottom
C_3V-Decoup1,10u,C_0402_1005Metric,15.593478,60.722028,180,bottom
C_3V-Decoup2,1u,C_0402_1005Metric,16.073478,49.411062,180,bottom
C_3V-Decoup3,.1u,C_0402_1005Metric,13.989879,47.133236,90,bottom
C_3V-Decoup4,.1u,C_0402_1005Metric,13.692222,43.457922,180,bottom
C_3V-Decoup5,.1u,C_0402_1005Metric,13.692222,44.64855,180,bottom
C_3V-Decoup6,.1u,C_0402_1005Metric,24.407874,41.67198,0,bottom
C_3V-Decoup7,.1u,C_0402_1005Metric,19.050048,51.197004,90,bottom
C_3V-Decoup8,.1u,C_0402_1005Metric,16.668792,36.314154,-90,bottom
C_3V-Decoup9,.1u,C_0402_1005Metric,24.407874,42.862608,0,bottom
C_Crystal1,22pF,C_0402_1005Metric,21.431304,33.337584,45,bottom
C_Crystal2,22pF,C_0402_1005Metric,17.85942,33.932898,135,bottom
C_Flash1,.1u,C_0402_1005Metric,51.494661,65.186883,90,bottom
C_LD1,1u,C_0402_1005Metric,11.90628,64.603284,180,bottom
C_LD2,1u,C_0402_1005Metric,15.593478,61.912656,180,bottom
D1,D_Small,D_SOD-123,18.454734,77.986134,-90,bottom
D10,D_Small,D_SOD-123,48.220434,47.029806,90,bottom
D11,D_Small,D_SOD-123,48.220434,27.979758,90,bottom
D12,D_Small,D_SOD-123,56.55483,20.83599,-90,bottom
D13,D_Small,D_SOD-123,75.604878,77.986134,-90,bottom
D14,D_Small,D_SOD-123,67.270482,47.029806,90,bottom
D15,D_Small,D_SOD-123,67.270482,27.979758,90,bottom
D16,D_Small,D_SOD-123,94.654926,77.986134,-90,bottom
D17,D_Small,D_SOD-123,86.32053,47.029806,90,bottom
D18,D_Small,D_SOD-123,86.32053,27.979758,90,bottom
D19,D_Small,D_SOD-123,111.323718,20.83599,-90,bottom
D2,D_Small,D_SOD-123,10.120338,47.327463,90,bottom
D20,D_Small,D_SOD-123,114.895602,66.079854,90,bottom
D21,D_Small,D_SOD-123,114.895602,47.029806,90,bottom
D22,D_Small,D_SOD-123,114.895602,27.979758,90,bottom
D23,D_Small,D_SOD-123,135.136278,20.83599,-90,bottom
D24,D_Small,D_SOD-123,133.94565,66.079854,90,bottom
D25,D_Small,D_SOD-123,133.94565,47.029806,90,bottom
D26,D_Small,D_SOD-123,133.94565,27.979758,90,bottom
D27,D_Small,D_SOD-123,152.995698,66.079854,90,bottom
D28,D_Small,D_SOD-123,152.995698,47.029806,90,bottom
D29,D_Small,D_SOD-123,152.995698,27.979758,90,bottom
D3,D_Small,D_SOD-123,19.645362,27.979758,90,bottom
D30,D_Small,D_SOD-123,143.470674,20.83599,-90,bottom
D31,D_Small,D_SOD-123,172.045746,66.079854,90,bottom
D32,D_Small,D_SOD-123,172.045746,47.029806,90,bottom
D33,D_Small,D_SOD-123,172.045746,27.979758,90,bottom
D34,D_Small,D_SOD-123,162.520722,20.83599,-90,bottom
D35,D_Small,D_SOD-123,191.095794,66.079854,90,bottom
D36,D_Small,D_SOD-123,191.095794,47.029806,90,bottom
D37,D_Small,D_SOD-123,191.095794,27.979758,90,bottom
D38,D_Small,D_SOD-123,181.57077,20.83599,-90,bottom
D4,D_Small,D_SOD-123,18.454734,20.83599,-90,bottom
D5,D_Small,D_SOD-123,37.504782,77.986134,-90,bottom
D6,D_Small,D_SOD-123,29.170386,47.029806,90,bottom
D7,D_Small,D_SOD-123,38.69541,27.979758,90,bottom
D8,D_Small,D_SOD-123,37.504782,20.83599,-90,bottom
D9,D_Small,D_SOD-123,56.55483,77.986134,-90,bottom
J1,SM04B,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,30.956328,63.103284,-90,bottom
MX1,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,9.524938,71.437766,180,bottom
MX10,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,47.624938,52.387766,180,bottom
MX11,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,47.624938,33.337766,180,bottom
MX12,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,47.62497,14.317344,180,bottom
MX13,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,66.674938,71.437766,180,bottom
MX14,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,66.674938,52.387766,180,bottom
MX15,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,66.674938,33.337766,180,bottom
MX16,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,85.724938,71.437766,180,bottom
MX17,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,85.724938,52.387766,180,bottom
MX18,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,85.724938,33.337766,180,bottom
MX19,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,80.962498,9.55484,180,bottom
MX2,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,9.524938,52.387766,180,bottom
MX20,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,114.299938,71.437766,180,bottom
MX21,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,114.299938,52.387766,180,bottom
MX22,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,114.299938,33.337766,180,bottom
MX23,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,119.06253,9.55484,180,bottom
MX24,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,133.349938,71.437766,180,bottom
MX25,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,133.349938,52.387766,180,bottom
MX26,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,133.349938,33.337766,180,bottom
MX27,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,152.399938,71.437766,180,bottom
MX28,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,152.399938,52.387766,180,bottom
MX29,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,152.399938,33.337766,180,bottom
MX3,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,9.524938,33.337766,0,bottom
MX30,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,152.399938,14.287766,180,bottom
MX31,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,171.449938,71.437766,180,bottom
MX32,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,171.449938,52.387766,180,bottom
MX33,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,171.449938,33.337766,180,bottom
MX34,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,171.449938,14.287766,180,bottom
MX35,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,190.499938,71.437766,180,bottom
MX36,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,190.499938,52.387766,180,bottom
MX37,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,190.499938,33.337766,180,bottom
MX38,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,190.499938,14.287766,180,bottom
MX4,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,9.524938,14.317344,180,bottom
MX44,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,100.012514,9.55484,180,bottom
MX5,MX-NoLED,2V~12V - Mechanical Keyboard Shaft ROHS,28.574938,71.437766,180,bottom
