Comment,Designator,Footprint,JLCPCB Part#(optional)
1uF,C_1V-Decoup1,C_0402_1005Metric,C52923
0.1uF,C_1V-Decoup2,C_0402_1005Metric,C2655418
0.1uF,C_1V-Decoup3,C_0402_1005Metric,C2655418
10uF,C_3V-Decoup1,C_0402_1005Metric,C15525
1uF,C_3V-Decoup2,C_0402_1005Metric,C52923
0.1uF,C_3V-Decoup3,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup4,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup5,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup6,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup7,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup8,C_0402_1005Metric,C2655418
0.1uF,C_3V-Decoup9,C_0402_1005Metric,C2655418
22pF,C_Crystal1,C_0402_1005Metric,C1555
22pF,C_Crystal2,C_0402_1005Metric,C1555
0.1uF,C_Flash1,C_0402_1005Metric,C2655418
1uF,C_LD1,C_0402_1005Metric,C52923
1uF,C_LD2,C_0402_1005Metric,C52923
1N4148W,D1,D_SOD-123,C81598
1N4148W,D10,D_SOD-123,C81598
1N4148W,D11,D_SOD-123,C81598
1N4148W,D12,D_SOD-123,C81598
1N4148W,D13,D_SOD-123,C81598
1N4148W,D14,D_SOD-123,C81598
1N4148W,D15,D_SOD-123,C81598
1N4148W,D16,D_SOD-123,C81598
1N4148W,D17,D_SOD-123,C81598
1N4148W,D18,D_SOD-123,C81598
1N4148W,D19,D_SOD-123,C81598
1N4148W,D2,D_SOD-123,C81598
1N4148W,D20,D_SOD-123,C81598
1N4148W,D21,D_SOD-123,C81598
1N4148W,D22,D_SOD-123,C81598
1N4148W,D23,D_SOD-123,C81598
1N4148W,D24,D_SOD-123,C81598
1N4148W,D25,D_SOD-123,C81598
1N4148W,D26,D_SOD-123,C81598
1N4148W,D27,D_SOD-123,C81598
1N4148W,D28,D_SOD-123,C81598
1N4148W,D29,D_SOD-123,C81598
1N4148W,D3,D_SOD-123,C81598
1N4148W,D30,D_SOD-123,C81598
1N4148W,D31,D_SOD-123,C81598
1N4148W,D32,D_SOD-123,C81598
1N4148W,D33,D_SOD-123,C81598
1N4148W,D34,D_SOD-123,C81598
1N4148W,D35,D_SOD-123,C81598
1N4148W,D36,D_SOD-123,C81598
1N4148W,D37,D_SOD-123,C81598
1N4148W,D38,D_SOD-123,C81598
1N4148W,D4,D_SOD-123,C81598
1N4148W,D5,D_SOD-123,C81598
1N4148W,D6,D_SOD-123,C81598
1N4148W,D7,D_SOD-123,C81598
1N4148W,D8,D_SOD-123,C81598
1N4148W,D9,D_SOD-123,C81598
SM04B-SRSS-TB(LF)(SN),J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
CPG151101S11-16,MX1,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX10,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX11,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX12,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX13,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX14,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX15,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX16,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX17,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX18,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX19,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX2,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX20,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX21,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX22,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX23,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX24,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX25,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX26,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX27,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX28,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX29,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX3,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX30,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX31,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX32,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX33,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX34,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX35,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX36,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX37,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX38,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX4,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX44,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX5,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX6,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX7,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX8,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
CPG151101S11-16,MX9,2V~12V - Mechanical Keyboard Shaft ROHS,C5156480
1k Ohm,R_Crystal1,R_0402_1005Metric,C279987
27 Ohm,R_DATA1,R_0402_1005Metric,C25100
27 Ohm,R_DATA2,R_0402_1005Metric,C25100
1k Ohm,R_Flash1,R_0402_1005Metric,C279987
1k Ohm,R_RST1,R_0402_1005Metric,C279987
RP2040,U1,RP2040-QFN-56,C2040
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C2613930
XC6206P332MR,U3,SOT-23,C5446
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
