Designator,Val,Package,MidX,MidY,Rotation,Layer
C_1V-Decoup1,1u,C_0402_1005Metric,24.110217,50.006376,90,bottom
C_1V-Decoup2,100n,C_0402_1005Metric,28.575072,50.304033,45,bottom
C_1V-Decoup3,100n,C_0402_1005Metric,23.938974,36.401889,-135,bottom
C_3V-Decoup1,10u,C_0402_1005Metric,14.998164,49.526376,180,bottom
C_3V-Decoup2,1u,C_0402_1005Metric,21.431304,50.006376,90,bottom
C_3V-Decoup3,100n,C_0402_1005Metric,26.4176,50.304033,45,bottom
C_3V-Decoup4,100n,C_0402_1005Metric,19.943019,42.862608,180,bottom
C_3V-Decoup5,100n,C_0402_1005Metric,20.951304,46.732149,180,bottom
C_3V-Decoup6,100n,C_0402_1005Metric,31.551642,46.732149,0,bottom
C_3V-Decoup7,100n,C_0402_1005Metric,22.919589,50.006376,90,bottom
C_3V-Decoup8,100n,C_0402_1005Metric,24.780875,35.559988,-135,bottom
C_3V-Decoup9,100n,C_0402_1005Metric,31.849299,41.374323,-90,bottom
C_Crystal1,22p,C_0402_1005Metric,28.830975,31.509888,45,bottom
C_Crystal2,22p,C_0402_1005Metric,25.334434,31.217874,135,bottom
C_Flash1,100n,C_0402_1005Metric,41.374323,45.541521,0,bottom
C_LD1,1u,C_0402_1005Metric,18.157077,64.785627,90,bottom
C_LD2,1u,C_0402_1005Metric,12.799251,64.785627,90,bottom
D1,1N4148W,D_SOD-123,16.073478,68.163453,90,bottom
D2,1N4148W,D_SOD-123,18.454623,48.815862,90,bottom
D3,1N4148W,D_SOD-123,20.835875,29.765846,90,bottom
D4,1N4148W,D_SOD-123,16.073371,8.334578,90,bottom
D5,1N4148W,D_SOD-123,35.123526,68.163453,90,bottom
D6,1N4148W,D_SOD-123,39.885891,48.815862,90,bottom
D7,1N4148W,D_SOD-123,44.648395,29.765846,90,bottom
D8,1N4148W,D_SOD-123,35.123387,8.334578,90,bottom
D9,1N4148W,D_SOD-123,54.173574,68.163453,90,bottom
D10,1N4148W,D_SOD-123,58.935907,48.815862,90,bottom
D11,1N4148W,D_SOD-123,63.698411,29.765846,90,bottom
D12,1N4148W,D_SOD-123,54.173403,8.334578,90,bottom
D13,1N4148W,D_SOD-123,73.223622,68.163453,90,bottom
