Comment,Designator,Footprint,LCSC
1k,"R_Crystal1,R_Flash1,R_RST1",R_0402_1005Metric,C11702
SM04B,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
.1u,"C_1V-Decoup2,C_1V-Decoup3,C_3V-Decoup3,C_3V-Decoup4,C_3V-Decoup5,C_3V-Decoup6,C_3V-Decoup7,C_3V-Decoup8,C_3V-Decoup9,C_Flash1",C_0402_1005Metric,C1525
10u,C_3V-Decoup1,C_0402_1005Metric,C15525
22pF,"C_Crystal1,C_Crystal2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
27,"R_DATA1,R_DATA2",R_0402_1005Metric,C25100
1u,"C_1V-Decoup1,C_3V-Decoup2,C_LD1,C_LD2",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D4,D5,D6,D7,D8,D9",D_SOD-123,C64898
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
MX-NoLED,MX2,MXOnly-1.25U-NoLED,
MX-NoLED,MX36,MXOnly-1.25U-NoLED,
Reset,SW1,PinHeader_1x02_P1.27mm_Vertical,
MX-NoLED,MX38,MXOnly-1U-NoLED,
MX-NoLED,MX37,MXOnly-1U-NoLED,
MX-NoLED,MX35,MXOnly-1.5U-NoLED,
MX-NoLED,MX34,MXOnly-1U-NoLED,
MX-NoLED,MX33,MXOnly-1U-NoLED,
MX-NoLED,MX32,MXOnly-1U-NoLED,
MX-NoLED,MX31,MXOnly-1U-NoLED,
MX-NoLED,MX30,MXOnly-1U-NoLED,
MX-NoLED,MX29,MXOnly-1U-NoLED,
MX-NoLED,MX28,MXOnly-1U-NoLED,
MX-NoLED,MX27,MXOnly-1U-NoLED,
MX-NoLED,MX26,MXOnly-1U-NoLED,
MX-NoLED,MX25,MXOnly-1U-NoLED,
MX-NoLED,MX24,MXOnly-1U-NoLED,
MX-NoLED,MX23,MXOnly-1.75U-NoLED,
MX-NoLED,MX22,MXOnly-1U-NoLED,
MX-NoLED,MX21,MXOnly-1U-NoLED,
MX-NoLED,MX20,MXOnly-1U-NoLED,
MX-NoLED,MX19,MXOnly-1.75U-NoLED,
MX-NoLED,MX18,MXOnly-1U-NoLED,
MX-NoLED,MX17,MXOnly-1U-NoLED,
MX-NoLED,MX16,MXOnly-1U-NoLED,
MX-NoLED,MX15,MXOnly-1U-NoLED,
MX-NoLED,MX14,MXOnly-1U-NoLED,
MX-NoLED,MX13,MXOnly-1U-NoLED,
MX-NoLED,MX12,MXOnly-1.25U-NoLED,
MX-NoLED,MX11,MXOnly-1U-NoLED,
MX-NoLED,MX10,MXOnly-1U-NoLED,
MX-NoLED,MX9,MXOnly-1U-NoLED,
MX-NoLED,MX8,MXOnly-1U-NoLED,
MX-NoLED,MX7,MXOnly-1U-NoLED,
MX-NoLED,MX6,MXOnly-1U-NoLED,
MX-NoLED,MX5,MXOnly-1U-NoLED,
MX-NoLED,MX4,MXOnly-1.25U-NoLED,
MX-NoLED,MX3,MXOnly-1.5U-NoLED,
MX-NoLED,MX1,MXOnly-1U-NoLED,
SWD,J2,PinHeader_1x05_P2.54mm_Vertical,
